"id","name","duration","status","wef","wet"
"b.tech","Bachelor of Technology","4","1","2019-2020","2019-2020"
"be","Bachelor of Engineering","4","1","2019-2020","2019-2020"
"comm","Common Course for 1st Year","1","1","2019-2020","2019-2020"
"dualdegree","Dual Degree","5","1","2019-2020","2019-2020"
"execmba","Executive Master of Business Administration","3","1","2019-2020","2019-2020"
"3yrmtech","Master of Technology (3 Years)","3","1","2019-2020","2019-2020"
"honour","Honours Course","2","1","2019-2020","2019-2020"
"int.m.sc","Integrated Master of Science","5","1","2019-2020","2019-2020"
"int.m.tech","Integrated Master of Technology","5","1","2019-2020","2019-2020"
"int.msc.tech","Integrated Master of Science and Technology","5","1","2019-2020","2019-2020"
"m.phil","Master of Philosophy","1","1","2019-2020","2019-2020"
"m.sc","Master of Science","2","1","2019-2020","2019-2020"
"m.sc.tech","Master of Science and Technology","3","1","2019-2020","2019-2020"
"m.tech","Master of Technology","2","1","2019-2020","2019-2020"
"mba","Master of Business Administration","2","1","2019-2020","2019-2020"
"minor","Minor Course","2","1","2019-2020","2019-2020"
"prep","Preparatory","1","1","2019-2020","2019-2020"
"jrf","Doctor of Philosophy","7","1","2019-2020","2019-2020"
"online","Online","1","1","2019-2020","2019-2020"
"mbaba","Master of Business Administration (BA)","2","1","2020-2021","2020-2021"
"dualdegree_categoryA","Dual Degree (Category A)","3","1","2021-2022","2021-2022"
"dualdegree_categoryB","Dual Degree (Category B)","3","1","2021-2022","2021-2022"
"dualdegree_categoryC","Dual Degree (Category C)","3","1","2021-2022","2021-2022"
"doublemajor","Double Major","2","1","2021-2022","2021-2022"
"PH.D","Doctor of Philosophy","7","0","2019-2020","2019-2020"
"MBA BA","Master of Business Administration","2","0","2020-2021","2020-2021"
"ma","Master of Arts","2","1","2023-2024","2023-2024"
"pgd","PG Diploma","2","1","2023-2024","2023-2024"
"2execmtech","Executive Master of Technology (2 Years)","2","1","2024-2025","2024-2025"
"3execmtech","Executive Master of Technology (3 Years)","3","1","2024-2025","2024-2025"
"mixed","Mixed","2","1","2024-2025","2024-2025"
"dualdegree_categoryC1","Dual Degree (Category C1)","4","1","2024-2025","2024-2025"
"dualdegree_categoryC2","Dual Degree (Category C2)","4","1","2024-2025","2024-2025"
"dualdegree_categoryD","Dual Degree (Category D)","4","1","2024-2025","2024-2025"
"int.bsms","Integrated Bachelor of Science and Master of Science","5","1","2025-2026","2025-2026"
"dd.b.tech","Dual Degree B.Tech With MBA","5","1","2025-2026","2025-2026"
"Special","Special","1","1","2025-2026","2025-2026"
